 ,總指數,總指數(不含土石採取業),礦業及土石採取業,製造業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
2002M06,38.31,38.2,158.74,36.11,55.11,16.02,66,91.01,77.78,91
2002M07,39.87,39.76,166.5,37.44,57.75,16.1,70.07,95.49,84.29,96.72
2002M08,39.99,39.86,177.32,37.53,57.04,15.62,72.64,98.58,84.71,99.31
2002M09,38.74,38.63,176.09,36.59,55.44,15.89,68.91,92.81,75.03,97.25
2002M10,40.66,40.53,199.42,38.52,58.41,16.89,73.08,94.32,74.98,100.56
2002M11,39.66,39.52,220.08,37.73,57.66,16.79,69.79,92.32,68.03,96.84
2002M12,39.9,39.76,219.08,37.94,60.29,16.35,69.56,95.1,68.53,100.42
2003M01,40.62,40.49,206.26,38.65,58.63,16.63,73.07,99.33,69.23,101.38
2003M02,33.98,33.88,159.85,32.23,46.36,14.91,62.08,73.63,61.02,91.33
2003M03,41.24,41.12,205.65,39.29,59.97,17.83,70.96,96.16,69.63,99.22
2003M04,40.8,40.68,175.38,38.83,59.54,17.71,70.42,92.69,71.11,97.36
2003M05,41.31,41.18,170.05,39.18,58.35,17.62,74.75,92.42,75.99,101.23
2003M06,40.42,40.28,166.95,38.21,56.48,17.24,74.67,86.66,77.79,97.4
2003M07,43.08,42.96,159.03,40.51,59.43,18,79.32,95.83,90.51,103.88
2003M08,42.93,42.81,161.11,40.42,56.96,18.51,79.5,93.82,88.48,103.42
2003M09,42.55,42.44,154.31,40.31,57.72,19.53,74.1,89.92,80.77,101.14
2003M10,45.63,45.51,156.51,43.57,62.78,21.29,79.9,94.7,77.2,101.51
2003M11,44.24,44.14,161.76,42.31,59.92,20.95,78,90.38,72.52,98.05
2003M12,47.51,47.4,173.33,45.64,67.52,21.43,85.36,101.58,73.06,99.11
2004M01,40.7,40.6,169.06,38.76,61.64,15.45,77.99,85.37,70.79,98.68
2004M02,43.37,43.26,179.41,41.46,67.64,17.02,80,88.38,69.17,90.64
2004M03,47.9,47.81,153.56,45.9,76.09,18.64,87.72,97.47,74.79,98.08
2004M04,46.43,46.33,155.02,44.46,74.83,18.11,82.96,94.51,73.12,96.13
2004M05,47.29,47.17,162.43,45.09,75.32,18.46,84.97,95.14,84.29,101.59
2004M06,46.47,46.33,171.65,44.28,74.29,18.44,81.6,93.42,84.14,99.64
2004M07,46.53,46.41,160.88,44.27,75.1,18.07,81.76,93.59,88.42,100.97
2004M08,46.05,45.94,155.65,43.81,71.56,18.03,84.81,92.21,88.51,102.1
2004M09,46.08,45.96,154.73,43.97,73.42,18.5,81.99,90.15,81.35,99.5
2004M10,47.06,46.95,159.14,45.02,74.15,19.3,85.33,89.73,75.59,103.26
2004M11,46.75,46.61,166.56,44.73,73.53,19.65,82.36,90.28,73.42,99.52
2004M12,47.21,47.06,182.79,45.16,76.21,19.05,81.45,95.05,74.1,101.56
2005M01,46.82,46.67,185.24,44.71,74.2,18.85,82.33,94.78,76.8,102.22
2005M02,38.19,38.09,135.5,36.4,58.12,16.13,71.62,68.57,66.73,92.26
2005M03,48.75,48.61,170.89,46.64,78.52,19.96,85.62,93.54,77.5,100.81
2005M04,47.18,47.06,153.44,45.13,74.22,19.85,82.46,91.93,77.39,98.03
2005M05,47.55,47.42,142.14,45.39,75.36,20.19,82.48,89.23,85.44,95.7
2005M06,47.5,47.4,139.49,45.31,73.81,21.14,80.77,88.01,87.09,99.36
2005M07,46.58,46.48,130.36,44.33,69.26,21,80.97,88.57,91.93,101.69
2005M08,48.85,48.73,146.58,46.56,70.13,22.94,85.09,93.33,92.17,102.32
2005M09,48.52,48.39,146.62,46.36,70.05,23.42,83.37,90.04,84.43,100
2005M10,49.61,49.5,135.3,47.46,71.17,24.24,86.73,89.03,83.2,102.7
2005M11,49.37,49.27,140.34,47.35,71.02,24.51,84.32,90.08,76.9,100.09
2005M12,50.18,50.06,159.12,48.1,73.98,24.59,83.33,92.96,77.8,102.57
2006M01,47.86,47.72,161.84,45.78,69.86,22.99,81.35,89.8,77.41,103.55
2006M02,43.57,43.46,136.9,41.73,63.21,22.26,73.99,72.32,69.09,92.24
2006M03,51.92,51.79,159.91,49.83,79.49,25.44,84.35,91.68,77.54,102.64
2006M04,49.58,49.45,149.63,47.5,73.67,24.47,83.43,85.95,79.16,100.12
2006M05,51.08,50.96,146.59,48.87,75.51,24.79,87.36,89.89,85.99,103.75
2006M06,49.87,49.74,142.14,47.65,74,24.24,84.03,88.03,88.24,101.66
2006M07,49.79,49.68,135.16,47.44,73.41,24.53,81.77,88.55,96.32,106.11
2006M08,51.33,51.21,135.28,48.96,74.04,26.13,83.72,91.11,96.55,106.34
2006M09,50.01,49.9,132.8,47.82,71.74,26.43,79.79,86.73,86.6,102.94
2006M10,50.08,49.98,131.56,47.94,71.62,26.69,79.26,87.54,83.92,106.19
2006M11,49.98,49.89,130.73,47.93,71.02,26.21,82.31,87.52,79.5,101.91
2006M12,49.49,49.39,133.37,47.38,73.43,24.2,82.32,89.54,81.46,104.22
2007M01,50.85,50.76,130.12,48.74,75.22,25.27,83.41,92.14,82.2,104.73
2007M02,41.3,41.23,101.72,39.5,58.27,21.09,71.81,69.66,69.92,94.74
2007M03,52.28,52.21,124.3,50.19,77.23,26.52,86.17,90.79,81.81,103.67
2007M04,51.56,51.49,117.57,49.51,75.08,26.84,86.15,84.97,80.42,99.79
2007M05,54.85,54.77,123.48,52.61,78.12,29.38,90.03,90.96,89.51,104.31
2007M06,53.54,53.45,119.31,51.27,73.19,30.05,87.7,85.59,92.24,101.79
2007M07,55.89,55.8,121.47,53.46,76.27,31.35,91.65,88.72,100.24,106.8
2007M08,56.2,56.13,115.73,53.87,74.03,32.29,92.63,91.49,95.8,105.26
2007M09,53.93,53.83,121.53,51.73,69.67,32.62,86.84,82.37,88.23,102.63
2007M10,58.43,58.38,106.7,56.26,77.2,35.42,92.38,89.68,86.97,105.24
2007M11,56.67,56.61,109.1,54.62,74.98,34.25,90.31,86.89,80.12,101.76
2007M12,56.58,56.51,117.03,54.45,76.32,33.34,90.68,87.48,83.73,104.27
2008M01,57.32,57.23,127.64,55.14,77.11,33.12,92.3,93.98,84.41,104.28
2008M02,48.52,48.47,101.86,46.56,63.14,29.23,80.85,69.03,76.92,95.85
2008M03,57.65,57.55,129.71,55.48,77.26,34.96,90.61,85.76,83.07,102.87
2008M04,57.58,57.48,131.96,55.46,78.14,34.59,90.36,86.43,81.87,100.02
2008M05,58.31,58.21,127.31,56.08,78.42,34.72,94.01,86.22,87.77,103.3
2008M06,56.58,56.49,116.67,54.33,75.06,34.39,90.7,80.92,90.16,99.68
2008M07,57.58,57.52,107.12,55.26,73.36,35.99,90.22,86.63,95.11,103.32
