 ,總指數,總指數(不含土石採取業),礦業及土石採取業,製造業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
2000M07,6.73,6.75,-20.14,6.84,0.39,22.63,1.17,-0.5,5.89,20.23
2000M08,8.65,8.73,-18.35,9.2,5.29,22.61,4.24,0.36,2.84,16.62
2000M09,17.76,17.76,-6.25,18.44,11.21,36.39,12.41,8.32,10.02,14.86
2000M10,7.17,7.19,6.11,6.9,0.87,20.53,3.04,-2.45,10.75,18.07
2000M11,3.09,3.05,-5.23,2.83,-1.67,10.21,1.17,-1.56,6.35,11.73
2000M12,0.54,0.49,8.28,0.03,-4.7,2.32,3.35,-1.41,6.25,12.59
2001M01,-11.29,-11.24,-6.7,-12.07,-21.56,-9.44,-1.26,-16.62,-1.86,11.53
2001M02,12.81,12.78,14.27,13.21,9.32,15.98,14.48,11.86,7.49,7.13
2001M03,-3.68,-3.69,8.04,-4.29,-9.39,-4.11,3.82,-8.06,3.62,12.35
2001M04,-6.52,-6.54,4.38,-7.17,-11.47,-11.64,3.75,-7.8,1,9.53
2001M05,-8.32,-8.27,7.35,-9.2,-14.46,-15.55,5.89,-10.06,3.02,8.14
2001M06,-13.14,-13.09,-2.68,-14.24,-19.52,-23.54,2.15,-10.09,0,0.56
2001M07,-12.44,-12.42,8.96,-13.51,-16.93,-22.92,1.09,-10.33,-0.34,-2.8
2001M08,-8.59,-8.58,5.19,-9.83,-14.1,-18.87,3.54,-5.05,7.27,-0.99
2001M09,-16.13,-16.11,-10.49,-17.1,-20.29,-26.68,-1.22,-15.36,-3.01,-4.9
2001M10,-8.76,-8.72,-9.89,-9.11,-13.27,-16.86,4.45,-6.62,-3.34,-4.39
2001M11,-9.1,-9.08,-1.34,-9.61,-11.37,-13.05,-3.74,-8.83,-2.4,-2.51
2001M12,-9.92,-9.82,-4.18,-10.47,-16.12,-12.04,-3.24,-9.84,-1.62,-3.44
2002M01,9.48,9.48,17.51,9.72,11.51,10.89,12.56,1.49,7.8,-2.37
2002M02,-13.88,-13.81,-15.78,-14.57,-19.79,-12.47,-8.55,-20.07,-3.94,-3.53
2002M03,0.54,0.6,-7.2,0.41,-2.71,5.01,3.91,-8.53,4.53,-4.59
2002M04,10.64,10.64,-1.83,10.84,4.65,23.05,11.4,-1.59,11.16,-5.04
2002M05,10.98,10.99,6.1,11.83,9.8,25.06,7.83,-1.07,3.43,-10.79
2002M06,10.59,10.6,-1.43,11.62,10.53,27.45,5.99,-4.2,2.23,-10.87
2002M07,15.8,15.82,4.27,17,16.53,31.54,14.18,-0.75,5.19,-7.28
2002M08,9.5,9.45,11.95,10.32,12.26,17.98,10.48,-4.42,1.44,-5.86
2002M09,15.37,15.38,25.87,16.09,17.43,27.63,10.66,3.42,7.77,-2.35
2002M10,10.01,9.96,25.27,10.25,14.26,16.48,8.52,-3.31,6.69,-2.61
2002M11,10.97,10.92,30.63,11.46,13.62,16.11,12.91,-2.27,5.42,-4.34
2002M12,12.9,12.79,13.1,13.52,20.53,20.31,11.08,-3.15,6.13,-2.46
2003M01,11.32,11.27,0.45,11.9,14,17.53,10.01,2.47,4.85,-1.76
2003M02,13.12,13.08,8.05,13.77,14.61,23.53,12.12,-3.41,6.96,-1.1
2003M03,5.96,5.92,11.34,6.28,8.43,12,1.41,-0.21,1.25,-1.88
2003M04,4.62,4.63,-1.16,4.89,8.41,10.21,0.54,-3.66,1.95,-0.41
2003M05,1.45,1.4,-2.6,1.37,-1.4,5.07,4.17,-6.6,1.13,8.94
2003M06,5.51,5.45,5.17,5.82,2.49,7.62,13.14,-4.78,0.01,7.03
2003M07,8.05,8.05,-4.49,8.2,2.91,11.8,13.2,0.36,7.38,7.4
2003M08,7.35,7.4,-9.14,7.7,-0.14,18.5,9.44,-4.83,4.45,4.14
2003M09,9.83,9.86,-12.37,10.17,4.11,22.91,7.53,-3.11,7.65,4
2003M10,12.22,12.29,-21.52,13.11,7.48,26.05,9.33,0.4,2.96,0.94
2003M11,11.55,11.69,-26.5,12.14,3.92,24.78,11.76,-2.1,6.6,1.25
2003M12,19.07,19.22,-20.88,20.3,11.99,31.07,22.71,6.81,6.61,-1.3
2004M01,0.2,0.27,-18.04,0.28,5.13,-7.1,6.73,-14.05,2.25,-2.66
2004M02,27.63,27.69,12.24,28.64,45.9,14.15,28.87,20.03,13.36,-0.76
2004M03,16.15,16.27,-25.33,16.82,26.88,4.54,23.62,1.36,7.41,-1.15
2004M04,13.8,13.89,-11.61,14.5,25.68,2.26,17.81,1.96,2.83,-1.26
